	test_statistic	p	-log2(p)	FDR_corrected_p
SRRM2_mutation_status	0.10431117112380588	0.7467161445166455	0.42136817145096733	0.999934250474592
SSPO_mutation_status	0.009248050213547496	0.9233881115846315	0.11499093675642434	0.999934250474592
ST6GAL2_mutation_status	0.016114903422048375	0.8989843339035373	0.153632119967002	0.999934250474592
STAB1_mutation_status	16.172097121699498	5.783985621506635e-05	14.077576508559755	0.013071807504604994
STAB2_mutation_status	0.45986546063619327	0.4976868570302976	1.0066898062199807	0.999934250474592
SULF1_mutation_status	0.000981684336458424	0.9750048964539269	0.03651863082300085	0.999934250474592
SUPT6H_mutation_status	0.33464581030692375	0.5629361877925212	0.8289567014858479	0.999934250474592
SVEP1_mutation_status	0.26876172624941824	0.6041636287573601	0.7269887598628975	0.999934250474592
SVIL_mutation_status	0.4557168319871616	0.4996325503222442	1.001060625429974	0.999934250474592
SYNE1_mutation_status	2.918411841687303	0.08757401765617324	3.513353289796384	0.9895863995147577
SYNE2_mutation_status	3.1246714680572114	0.07711541437733199	3.6968369246666093	0.9768293638003179
SYT10_mutation_status	0.40370053265890704	0.5251843093197008	0.9291042807220763	0.999934250474592
SYTL2_mutation_status	0.21005111633162535	0.6467273425059104	0.6287704885779641	0.999934250474592
SZT2_mutation_status	0.003724818200190574	0.951334290715298	0.07197571404043253	0.999934250474592
TACC2_mutation_status	0.1892958360597645	0.6635033342815595	0.5918243793455724	0.999934250474592
TAF1L_mutation_status	0.2952799482472081	0.5868567133611795	0.7689197962494664	0.999934250474592
TAOK2_mutation_status	0.19486830278415426	0.658895285460178	0.6018788908848703	0.999934250474592
TCEB3B_mutation_status	2.061276972826609	0.15108351350573845	2.7265818551734675	0.999934250474592
TCHH_mutation_status	0.0873816272528473	0.7675326445729727	0.3816999826299756	0.999934250474592
TDRD6_mutation_status	0.09184113927485187	0.761849448145807	0.3924221652434516	0.999934250474592
TECTA_mutation_status	5.356168483199723	0.02064909293242465	5.597777781042095	0.3888912502273309
TENM1_mutation_status	0.5585953692914828	0.4548267438413912	1.1366110076031566	0.999934250474592
TENM2_mutation_status	0.006972607954445998	0.9334522731497126	0.09935183467526544	0.999934250474592
TENM3_mutation_status	5.40372820285129	0.020093784258668104	5.637106897625601	0.38648470148587166
TENM4_mutation_status	0.02054767577980867	0.8860180298571071	0.17459203795720912	0.999934250474592
TEP1_mutation_status	9.115243268660753e-05	0.9923824099736008	0.011031931270035973	0.999934250474592
TET1_mutation_status	0.06830379104079827	0.7938226579596895	0.3331113533362573	0.999934250474592
TEX15_mutation_status	3.6659875404499727	0.05553372432518601	4.170492037401676	0.7606437392419417
TG_mutation_status	0.029841201243683748	0.8628510373589552	0.2128165809214633	0.999934250474592
THBS2_mutation_status	0.10119597759323523	0.7503991074463576	0.41426998303018076	0.999934250474592
THSD1_mutation_status	0.15267613081337536	0.6959909583640043	0.5228595307790797	0.999934250474592
THSD7A_mutation_status	0.7092374261171615	0.39969708422380157	1.3230210465002938	0.999934250474592
THSD7B_mutation_status	0.5551444576170294	0.456223257010964	1.132188101724478	0.999934250474592
TIAM1_mutation_status	5.065802653772796	0.024402402418400457	5.35683300155644	0.40108675974970937
TIAM2_mutation_status	0.163720342192923	0.6857541316385042	0.5442366856134099	0.999934250474592
TIE1_mutation_status	0.13506897407566798	0.7132331814208299	0.4875542725221395	0.999934250474592
TJP1_mutation_status	0.13428385853293204	0.7140310911459218	0.48594119981301764	0.999934250474592
TLL1_mutation_status	9.87080734160237	0.0016792180816329742	9.217994678056487	0.07228634027600993
TLN2_mutation_status	0.2709396875875055	0.6027021174490661	0.7304829615237374	0.999934250474592
TLR4_mutation_status	0.0007255058427834357	0.9785114056625615	0.0313394276868776	0.999934250474592
TLR9_mutation_status	0.0006572518037181588	0.9795469357127395	0.029813472943042364	0.999934250474592
TMEM132D_mutation_status	0.10097348852770646	0.7506645226232961	0.4137597939137893	0.999934250474592
TMPRSS15_mutation_status	0.0011456555682568547	0.9729987308686603	0.039490171659684804	0.999934250474592
TNC_mutation_status	0.27969576053423667	0.5969006953833743	0.7444371603732912	0.999934250474592
TNN_mutation_status	0.012080309423019442	0.9124803861839821	0.13213454648320258	0.999934250474592
TNRC6A_mutation_status	0.049044180732758194	0.8247348954728576	0.2779976439534142	0.999934250474592
TNR_mutation_status	0.30767834824945917	0.5791083501417975	0.788094795743496	0.999934250474592
TNS1_mutation_status	0.09742507504714171	0.7549418032535858	0.4055626602423785	0.999934250474592
TNS3_mutation_status	16.65584463717003	4.481201994225185e-05	14.445754715699364	0.013071807504604994
TNXB_mutation_status	0.1374807891285401	0.7107984048745755	0.49248765111520254	0.999934250474592
TONSL_mutation_status	0.08686765873914261	0.7681976997822655	0.38045045087999174	0.999934250474592
TP53_mutation_status	0.12161954017926695	0.7272845626560586	0.4594081409111772	0.999934250474592
TPO_mutation_status	0.013290633911512181	0.9082192181171873	0.13888753005969318	0.999934250474592
TPR_mutation_status	0.016048335352786297	0.899192073504402	0.1532987768177287	0.999934250474592
TPTE_mutation_status	0.10252258556470842	0.7488231794584884	0.41730300134928056	0.999934250474592
TRANK1_mutation_status	0.3930164276997957	0.5307180857051284	0.9139823814261089	0.999934250474592
TRHDE_mutation_status	0.02966095995679738	0.8632617642294795	0.21213000513116334	0.999934250474592
TRIOBP_mutation_status	0.012356090212221062	0.9114910946623184	0.13369953379494615	0.999934250474592
TRIO_mutation_status	0.16055943745022808	0.6886419778937573	0.538173968215258	0.999934250474592
TRPA1_mutation_status	0.23797577594214725	0.6256719538232314	0.6765216592007532	0.999934250474592
TRPC4_mutation_status	11.547205489617957	0.0006785116373717266	10.5253388195656	0.04231856239056503
TRPM1_mutation_status	0.4226919624732183	0.5155968546002062	0.9556846323253579	0.999934250474592
TRPM2_mutation_status	0.0972438949562959	0.7551624773243933	0.40514101334823016	0.999934250474592
TRPM3_mutation_status	0.12921270957175623	0.7192497290743332	0.47543532235441577	0.999934250474592
TRPS1_mutation_status	0.02916680878732592	0.8643944526633052	0.2102382812980172	0.999934250474592
TRRAP_mutation_status	0.09428149223461935	0.7588030963990463	0.3982025290129944	0.999934250474592
TSHZ2_mutation_status	0.26575008087244983	0.6061970082240435	0.7221413629086155	0.999934250474592
TSHZ3_mutation_status	0.40317378949803606	0.5254547149847906	0.9283616604469056	0.999934250474592
TTC3_mutation_status	0.5757911136688751	0.447966815085175	1.1585362319913088	0.999934250474592
TTN_mutation_status	1.3358663631060592	0.24776426098458557	2.0129599954589894	0.999934250474592
TUBGCP6_mutation_status	0.6452679134887419	0.42180962213223294	1.2453360892670873	0.999934250474592
TULP4_mutation_status	0.24834267036669247	0.6182444792747417	0.6937506430194413	0.999934250474592
TUSC3_mutation_status	0.02514057878803579	0.8740172717368393	0.19426630531837752	0.999934250474592
UBE4B_mutation_status	0.1552691853768416	0.6935499489489398	0.5279283067783148	0.999934250474592
UBR4_mutation_status	5.777349139836107	0.01623400721773492	5.9448370297177	0.3335350573825538
UBR5_mutation_status	0.7999646642092016	0.371103934552511	1.430104797895835	0.999934250474592
ULK1_mutation_status	0.09278268956989438	0.7606689075225778	0.39465945905037	0.999934250474592
UMODL1_mutation_status	0.024972386580299433	0.8744358874823523	0.1935754834128035	0.999934250474592
UNC13C_mutation_status	0.07537128311723948	0.7836709677610237	0.3516800436309393	0.999934250474592
UNC5D_mutation_status	0.3704469787969926	0.5427607271751733	0.8816117602017298	0.999934250474592
UNC79_mutation_status	0.26855133742794324	0.6043052068346373	0.7266507221991941	0.999934250474592
USH2A_mutation_status	2.4283804184957067	0.11915595088553675	3.0690770904958518	0.999934250474592
USP34_mutation_status	0.015082631972181874	0.9022564724924081	0.14839050730605022	0.999934250474592
UTP20_mutation_status	0.07660867326255104	0.7819469515997983	0.35485735853105455	0.999934250474592
UTRN_mutation_status	2.110390373667464e-06	0.9988408989284032	0.0016731992588481007	0.999934250474592
VCAN_mutation_status	0.5717423851566948	0.4495673685114603	1.1533907723961063	0.999934250474592
VPS13A_mutation_status	0.03727073311846267	0.8469148800691964	0.2397111173877533	0.999934250474592
VPS13B_mutation_status	4.905074240544613	0.02677790054726587	5.222813335489664	0.41736589818497144
VPS13C_mutation_status	0.3133479347920787	0.5756329885513974	0.7967788220312491	0.999934250474592
VPS13D_mutation_status	0.16425803369874215	0.6852661246994092	0.5452637240067968	0.999934250474592
VWA8_mutation_status	0.00030183499594147134	0.9861387304036144	0.020137475072849506	0.999934250474592
VWF_mutation_status	0.006403601884728879	0.9362193540911169	0.09508150526725118	0.999934250474592
WBSCR17_mutation_status	0.2772435027311494	0.5985136406622402	0.7405439670310127	0.999934250474592
WDFY3_mutation_status	0.009027488953996557	0.9243044226096893	0.11356000876849208	0.999934250474592
WDR49_mutation_status	0.22352732770880426	0.6363653154692384	0.6520728898974901	0.999934250474592
WDR90_mutation_status	0.011966436542869396	0.9128922063374577	0.13148357702560048	0.999934250474592
WHSC1_mutation_status	0.00026905222008308184	0.9869130369212297	0.019005129486242136	0.999934250474592
WISP1_mutation_status	0.3606474833607931	0.5481468595678756	0.8673656228965407	0.999934250474592
WNK1_mutation_status	0.08215243738947635	0.774401411323115	0.36884651300444715	0.999934250474592
WNK2_mutation_status	0.023051504222914552	0.879323213881374	0.18553453889951182	0.999934250474592
WNK4_mutation_status	0.13903677938551223	0.7092404676757964	0.49565323934792915	0.999934250474592
WWC3_mutation_status	0.0002990596375923458	0.986202598045918	0.02004404141658748	0.999934250474592
XDH_mutation_status	0.7958053625204294	0.37235046372952685	1.4252669405871297	0.999934250474592
XIRP2_mutation_status	0.1693833243873894	0.6806604492521665	0.5549928125769893	0.999934250474592
XIST_mutation_status	0.2802160253761229	0.5965596610177593	0.745261668030874	0.999934250474592
XRN1_mutation_status	1.4461928340175347	0.22913982826479123	2.1256998503606064	0.999934250474592
ZAN_mutation_status	0.11229247472035031	0.7375491298106023	0.4391889411548809	0.999934250474592
ZBBX_mutation_status	0.19991720087802706	0.6547876873815901	0.6109009012373763	0.999934250474592
ZBTB20_mutation_status	12.712221720798766	0.0003632735854747728	11.426655911924284	0.03648881347435495
ZC3H13_mutation_status	0.10424982545582645	0.7467880808336884	0.42122919338023096	0.999934250474592
ZDBF2_mutation_status	9.238767244843586	0.002369444161930246	8.721235621689262	0.09231960394435275
ZEB2_mutation_status	0.12252141133109644	0.7263157433594493	0.4613312431503747	0.999934250474592
ZFAT_mutation_status	0.011495927267910211	0.9146151932678704	0.12876320999773064	0.999934250474592
ZFHX3_mutation_status	0.018201972618609567	0.892679327614195	0.16378607804622378	0.999934250474592
ZFHX4_mutation_status	1.3560073828508141	0.24423063729029096	2.033683905641809	0.999934250474592
ZFP64_mutation_status	0.026675821634653377	0.8702607047537186	0.20048043977337165	0.999934250474592
ZFPM2_mutation_status	0.11216606607611325	0.7376914490164312	0.4389105821996616	0.999934250474592
ZIC1_mutation_status	0.07709419302761454	0.7812745890916117	0.3560984035023619	0.999934250474592
ZNF106_mutation_status	0.10884521836246706	0.7414626876541428	0.4315540005766422	0.999934250474592
ZNF208_mutation_status	0.004295622536435058	0.9477432640912709	0.07743179714130129	0.999934250474592
ZNF236_mutation_status	0.15981270178252455	0.6893290162042656	0.5367353503490633	0.999934250474592
ZNF292_mutation_status	0.009207257107251728	0.923556746580867	0.11472748668926111	0.999934250474592
ZNF407_mutation_status	0.017106860776271337	0.8959389035788612	0.15852774040480988	0.999934250474592
ZNF423_mutation_status	0.260882997526816	0.6095141717236363	0.7142683297634144	0.999934250474592
